id,question,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
0,I worry about things.,0.0,0.0,0.0,1.0,0.0
1,I fear for the worst.,0.0,0.0,0.0,1.0,0.0
2,I am afraid of many things.,0.0,0.0,0.0,1.0,0.0
3,I get stressed out easily.,0.0,0.0,0.0,1.0,0.0
4,I get caught up in my problems.,0.0,0.0,0.0,1.0,0.0
5,I am not easily bothered by things.,0.0,0.0,0.0,-1.0,0.0
6,I am relaxed most of the time.,0.0,0.0,0.0,-1.0,0.0
7,I am not easily disturbed by events.,0.0,0.0,0.0,-1.0,0.0
8,I don't worry about things that have already happened.,0.0,0.0,0.0,-1.0,0.0
9,I adapt easily to new situations.,0.0,0.0,0.0,-1.0,0.0
10,I get angry easily.,0.0,0.0,0.0,1.0,0.0
11,I get irritated easily.,0.0,0.0,0.0,1.0,0.0
12,I get upset easily.,0.0,0.0,0.0,1.0,0.0
13,I am often in a bad mood.,0.0,0.0,0.0,1.0,0.0
14,I lose my temper.,0.0,0.0,0.0,1.0,0.0
15,I rarely get irritated.,0.0,0.0,0.0,-1.0,0.0
16,I seldom get mad.,0.0,0.0,0.0,-1.0,0.0
17,I am not easily annoyed.,0.0,0.0,0.0,-1.0,0.0
18,I keep my cool.,0.0,0.0,0.0,-1.0,0.0
19,I rarely complain.,0.0,0.0,0.0,-1.0,0.0
20,I often feel blue.,0.0,0.0,0.0,1.0,0.0
21,I dislike myself.,0.0,0.0,0.0,1.0,0.0
22,I am often down in the dumps.,0.0,0.0,0.0,1.0,0.0
23,I have a low opinion of myself.,0.0,0.0,0.0,1.0,0.0
24,I have frequent mood swings.,0.0,0.0,0.0,1.0,0.0
25,I feel desperate.,0.0,0.0,0.0,1.0,0.0
26,I feel that my life lacks direction.,0.0,0.0,0.0,1.0,0.0
27,I seldom feel blue.,0.0,0.0,0.0,-1.0,0.0
28,I feel comfortable with myself.,0.0,0.0,0.0,-1.0,0.0
29,I am very pleased with myself.,0.0,0.0,0.0,-1.0,0.0
30,I am easily intimidated.,0.0,0.0,0.0,1.0,0.0
31,I am afraid that i will do the wrong thing.,0.0,0.0,0.0,1.0,0.0
32,I find it difficult to approach others.,0.0,0.0,0.0,1.0,0.0
33,I am afraid to draw attention to myself.,0.0,0.0,0.0,1.0,0.0
34,I only feel comfortable with friends.,0.0,0.0,0.0,1.0,0.0
35,I stumble over my words.,0.0,0.0,0.0,1.0,0.0
36,I am not embarrassed easily.,0.0,0.0,0.0,-1.0,0.0
37,I am comfortable in unfamiliar situations.,0.0,0.0,0.0,-1.0,0.0
38,I am not bothered by difficult social situations.,0.0,0.0,0.0,-1.0,0.0
39,I am able to stand up for myself.,0.0,0.0,0.0,-1.0,0.0
40,I often eat too much.,0.0,0.0,0.0,1.0,0.0
41,I don't know why i do some of the things i do.,0.0,0.0,0.0,1.0,0.0
42,I do things i later regret.,0.0,0.0,0.0,1.0,0.0
43,I go on binges.,0.0,0.0,0.0,1.0,0.0
44,I love to eat.,0.0,0.0,0.0,1.0,0.0
45,I rarely overindulge.,0.0,0.0,0.0,-1.0,0.0
46,I easily resist temptations.,0.0,0.0,0.0,-1.0,0.0
47,I am able to control my cravings.,0.0,0.0,0.0,-1.0,0.0
48,I never spend more than i can afford.,0.0,0.0,0.0,-1.0,0.0
49,I never splurge.,0.0,0.0,0.0,-1.0,0.0
50,I panic easily.,0.0,0.0,0.0,1.0,0.0
51,I become overwhelmed by events.,0.0,0.0,0.0,1.0,0.0
52,I feel that i'm unable to deal with things.,0.0,0.0,0.0,1.0,0.0
53,I can't make up my mind.,0.0,0.0,0.0,1.0,0.0
54,I get overwhelmed by emotions.,0.0,0.0,0.0,1.0,0.0
55,I remain calm under pressure.,0.0,0.0,0.0,-1.0,0.0
56,I can handle complex problems.,0.0,0.0,0.0,-1.0,0.0
57,I know how to cope.,0.0,0.0,0.0,-1.0,0.0
58,I readily overcome setbacks.,0.0,0.0,0.0,-1.0,0.0
59,I am calm even in tense situations.,0.0,0.0,0.0,-1.0,0.0
60,I make friends easily.,1.0,0.0,0.0,0.0,0.0
61,I warm up quickly to others.,1.0,0.0,0.0,0.0,0.0
62,I feel comfortable around people.,1.0,0.0,0.0,0.0,0.0
63,I act comfortably with others.,1.0,0.0,0.0,0.0,0.0
64,I cheer people up.,1.0,0.0,0.0,0.0,0.0
65,I am hard to get to know.,-1.0,0.0,0.0,0.0,0.0
66,I often feel uncomfortable around others.,-1.0,0.0,0.0,0.0,0.0
67,I avoid contacts with others.,-1.0,0.0,0.0,0.0,0.0
68,I am not really interested in others.,-1.0,0.0,0.0,0.0,0.0
69,I keep others at a distance.,-1.0,0.0,0.0,0.0,0.0
70,I love large parties.,1.0,0.0,0.0,0.0,0.0
71,I talk to a lot of different people at parties.,1.0,0.0,0.0,0.0,0.0
72,I enjoy being part of a group.,1.0,0.0,0.0,0.0,0.0
73,I involve others in what i am doing.,1.0,0.0,0.0,0.0,0.0
74,I love surprise parties.,1.0,0.0,0.0,0.0,0.0
75,I prefer to be alone.,-1.0,0.0,0.0,0.0,0.0
76,I want to be left alone.,-1.0,0.0,0.0,0.0,0.0
77,I don't like crowded events.,-1.0,0.0,0.0,0.0,0.0
78,I avoid crowds.,-1.0,0.0,0.0,0.0,0.0
79,I seek quiet.,-1.0,0.0,0.0,0.0,0.0
80,I take charge.,1.0,0.0,0.0,0.0,0.0
81,I try to lead others.,1.0,0.0,0.0,0.0,0.0
82,I can talk others into doing things.,1.0,0.0,0.0,0.0,0.0
83,I seek to influence others.,1.0,0.0,0.0,0.0,0.0
84,I take control of things.,1.0,0.0,0.0,0.0,0.0
85,I wait for others to lead the way.,-1.0,0.0,0.0,0.0,0.0
86,I keep in the background.,-1.0,0.0,0.0,0.0,0.0
87,I have little to say.,-1.0,0.0,0.0,0.0,0.0
88,I don't like to draw attention to myself.,-1.0,0.0,0.0,0.0,0.0
89,I hold back my opinions.,-1.0,0.0,0.0,0.0,0.0
90,I am always busy.,1.0,0.0,0.0,0.0,0.0
91,I am always on the go.,1.0,0.0,0.0,0.0,0.0
92,I do a lot in my spare time.,1.0,0.0,0.0,0.0,0.0
93,I can manage many things at the same time.,1.0,0.0,0.0,0.0,0.0
